Name,ID,Category,Color,Attribute,Life,Power,Counter,Cost,Ability Text,Type
Charlotte Pudding,OP03-112,Character,Yellow,Wisdom,null,2000,+1000 Counter,1,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 [Sanji] or{Big Mom Pirates}type card other than [Charlotte Pudding] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Big Mom Pirates
Charlotte Katakuri,OP03-123,Character,Yellow,Strike,null,8000,,8,[On Play] Add up to 1 Character with a cost of 8 or less to the top or bottom of the owner's Life cards face-up.,Big Mom Pirates
Charlotte Linlin,OP03-114,Character,Yellow,Special,null,12000,,10,"[On Play] If your Leader has the{Big Mom Pirates}type, add up to 1 card from the top of your deck to the top of your Life cards. Then, trash up to 1 card from the top of your opponent's Life cards.",The Four Emperors/Big Mom Pirates
Roronoa Zoro,ST12-008,Character,Green,Slash,null,6000,,4,[DON!! x1] [When Attacking] Rest up to 1 of your opponent's Characters with a cost of 6 or less.,Straw Hat Crew
Perona,OP06-093,Character,Black,Special,null,5000,+2000 Counter,4,"[On Play] If your opponent has 5 or more cards in their hand, choose one:• Your opponent trashes 1 card from their hand.• Give up to 1 of your opponent's Characters −3 cost during this turn.",Thriller Bark Pirates
Dracule Mihawk,OP01-070,Character,Blue,Slash,null,9000,,9,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.,The Seven Warlords of the Sea
Yamato,OP04-112,Character,Yellow,Strike,null,9000,,9,"[On Play] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards. Then, if you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards.",Land of Wano
Shirahoshi,OP03-116,Character,Yellow,Wisdom,null,0,+1000 Counter,5,[On Play] Draw 3 cards and trash 2 cards from your hand.[Trigger] Play this card.,Merfolk
Nefeltari Vivi,OP05-086,Character,Black,Wisdom,null,1000,+1000 Counter,1,"If you have 10 or more cards in your trash, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Alabasta
Rebecca,OP05-091,Character,Black,Wisdom,null,0,+1000 Counter,4,"[Blocker][On Play] Add up to 1 black Character card with a cost of 3 to 7 other than [Rebecca] from your trash to your hand. Then, play up to 1 black Character card with a cost of 3 or less from your hand rested.",Dressrosa
Tony Tony.Chopper,EB01-006,Character,Red,Strike,null,4000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",Animal/Straw Hat Crew
Cavendish,EB01-012,Character,Green,Slash,null,6000,+1000 Counter,5,"[On Play]/[When Attacking] If your Leader has the{Supernovas}type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",Supernovas/Beautiful Pirates
Vinsmoke Reiju,OP06-069,Character,Purple,Special,null,5000,+1000 Counter,4,"[On Play] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field and you have 5 or less cards in your hand, draw 2 cards.",The Vinsmoke Family/GERMA 66
Sabo,ST13-001,Leader,Red/Yellow,Special,4,5000,,null,[DON!! x1] [Activate: Main] [Once Per Turn] You may add 1 of your Characters with a cost of 3 or more and 7000 power or more to the top of your Life cards face-up: Up to 1 of your Characters gains +2000 power until the start of your next turn.,Dressrosa/Revolutionary Army
Portgas.D.Ace,ST13-002,Leader,Blue/Yellow,Special,4,5000,,null,"[DON!! x2] [Activate: Main] [Once Per Turn] Look at 5 cards from the top of your deck and add up to 1 Character card with a cost of 5 to the top of your Life cards face-up. Then, place the rest at the bottom of your deck in any order.[End of Your Turn] Trash all your face-up Life cards.",Whitebeard Pirates
Monkey.D.Luffy,ST13-003,Leader,Black/Yellow,Strike,4,5000,,null,"Your face-up Life cards are placed at the bottom of your deck instead of being added to your hand, according to the rules.[DON!! x2] [Activate: Main] [Once Per Turn] You may trash 1 card from your hand: If you have 0 Life cards, add up to 2 Character cards with a cost of 5 from your hand or trash to the top of your Life cards face-up.",Supernovas/Straw Hat Crew
San-Gorou,ST18-003,Character,Purple,Strike,null,6000,+1000 Counter,5,"[When Attacking] [Once Per Turn] If you have 8 or more DON!! cards on your field, draw 1 card.",Straw Hat Crew
Jack,OP08-084,Character,Black,Slash,null,8000,,7,"This Character gains +4 cost.[Activate: Main] You may rest this Character: Draw 1 card and trash 1 card from your hand. Then, K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Animal Kingdom Pirates
Uta,OP09-002,Character,Red,Special,null,2000,+1000 Counter,1,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1{Red-Haired Pirates}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",FILM
I Smell Adventure!!!,P-002,Event,Red,null,null,null,,1,"[Main] Return all cards in your hand to your deck and shuffle your deck. Then, draw cards equal to the number you returned to your deck.[Trigger] Activate this card's [Main] effect.",Straw Hat Crew
Crocodile,P-004,Character,Blue,Special,null,5000,+1000 Counter,4,"[DON!! x1] This Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",The Seven Warlords of the Sea/Baroque Works
Kaido,P-005,Character,Purple,Strike,null,8000,,7,"[Activate: Main]  DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Banish] during this turn.(When this card deals damage, the target card is trashed without activating its Trigger.)",The Four Emperors/Animal Kingdom Pirates
Uta,P-011,Leader,Red,Special,5,5000,,null,[Activate: Main] [Once Per Turn] ①(You may rest the specified number of DON!! cards in your cost area.): Up to 1 of your Characters with no base effect gains +2000 power during this turn.,FILM
Jellyfish Pirates,P-012,Character,Red,Special,null,5000,+1000 Counter,3,null,FILM/Jellyfish Pirates
Gordon,P-013,Character,Red,Wisdom,null,2000,,1,[Activate: Main] You may place this Character at the bottom of the owner's deck: Give up to 1 of your opponent's Characters −3000 power during this turn.,FILM
Koby,P-014,Character,Red,Strike,null,3000,,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Trigger] Play this card.",FILM/Navy
Sunny-Kun,P-015,Character,Red,Wisdom,null,3000,+1000 Counter,1,null,FILM/Straw Hat Crew
Shanks,P-016,Character,Red,Slash,null,10000,+1000 Counter,8,null,FILM/The Four Emperors/Red-Haired Pirates
Trafalgar Law,P-017,Character,Red,Slash,null,5000,+1000 Counter,4,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,FILM/Supernovas/Heart Pirates
Bartolomeo,P-018,Character,Red,Strike,null,3000,,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",FILM/Supernovas/Barto Club
Bepo,P-019,Character,Red,Strike,null,2000,+2000 Counter,3,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.,FILM/Minks/Heart Pirates
Helmeppo,P-020,Character,Red,Slash,null,2000,+1000 Counter,1,[On Play] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,FILM/Navy
Benn.Beckman,P-021,Character,Red,Ranged,null,9000,+1000 Counter,7,null,FILM/Red-Haired Pirates
Monkey.D.Luffy,P-022,Character,Red,Strike,null,6000,+1000 Counter,4,null,FILM/Supernovas/Straw Hat Crew
Yasopp,P-023,Character,Red,Ranged,null,8000,+1000 Counter,6,null,FILM/Red-Haired Pirates
Monkey.D.Luffy,P-006,Character,Red,Strike,null,3000,+2000 Counter,3,[DON!! x2] [Your Turn] This Character gains +2000 power.,Supernovas/Straw Hat Crew
Monkey.D.Luffy,P-007,Character,Red,Strike,null,5000,+1000 Counter,4,[DON!! x1] This Character cannot be K.O.'d in battle by ＜Strike＞ attribute Leaders or Characters.,Supernovas/Straw Hat Crew
Yamato,P-008,Character,Green,Strike,null,5000,,3,[Activate: Main] You may rest this Character: Rest 1 of your opponent's Characters with a cost of 2 or less.,Land of Wano
Trafalgar Law,P-009,Character,Blue,Slash,null,7000,,6,"[On Play] If your opponent has 6 or more cards in their hand, your opponent adds 1 card from their Life area to their hand.",Supernovas/Heart Pirates
Kaido,P-010,Character,Purple,Special,null,9000,,8,[End of Your Turn] Add 1 DON!! card from your DON!! deck and set it as active.,The Four Emperors/Animal Kingdom Pirates
Portgas.D.Ace,P-028,Character,Red,Special,null,6000,,5,[Double Attack](This card deals 2 damage.),Whitebeard Pirates
Bartolomeo,P-029,Character,Green,Special,null,3000,+1000 Counter,2,[End of Your Turn] You may rest this Character: Set up to 1 of your{FILM}type Characters other than [Bartolomeo] as active.,FILM/Supernovas/Barto Club
Jinbe,P-030,Character,Blue,Strike,null,5000,+1000 Counter,4,[On K.O.] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.,Fish-Man/The Seven Warlords of the Sea/The Sun Pirates
Uta,P-031,Character,Purple,Special,null,6000,,5,[On Play] Add up to 1 DON!! card from your DON!! deck and rest it.,FILM
Sengoku,P-032,Character,Black,Wisdom,null,6000,,5,[DON!! x1] [Your Turn] Give all of your opponent's Characters −2 cost.,Navy
Trafalgar Law,OP02-035,Character,Green,Slash,null,3000,+1000 Counter,2,[Activate: Main] ➀(You may rest the specified number of DON!! cards in your cost area.)You may return this Character to the owner's hand: Play up to 1 Character with a cost of 3 from your hand.,FILM/Supernovas/Heart Pirates
Sanji,ST01-004,Character,Red,Strike,null,4000,,2,[DON!! x2] This Character gains [Rush].(This card can attack on the turn in which it is played.),Straw Hat Crew
Marshall.D.Teach,ST03-014,Character,Blue,Special,null,4000,+1000 Counter,4,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,The Seven Warlords of the Sea/Blackbeard Pirates
Jack,ST04-008,Character,Purple,Strike,null,4000,+1000 Counter,3,[On Play] You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,Animal Kingdom Pirates
Charlotte Pudding,ST07-008,Character,Yellow,Wisdom,null,3000,+2000 Counter,2,"[On Play] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards.",Big Mom Pirates
Franky,OP01-021,Character,Red,Ranged,null,4000,,3,[DON!! x1] This Character can also attack your opponent's active Characters.,Straw Hat Crew
Izo,OP01-033,Character,Green,Ranged,null,3000,+2000 Counter,3,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,Land of Wano/Former Whitebeard Pirates
Black Maria,ST04-011,Character,Purple,Special,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Animal Kingdom Pirates
Killer,OP01-039,Character,Green,Slash,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [On Block] If you have 3 or more Characters, draw 1 card.",Supernovas/Kid Pirates
Ms. All Sunday,OP01-079,Character,Blue,Strike,null,1000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] If your Leader has the{Baroque Works}type, add up to 1 Event from your trash to your hand.",Baroque Works
Ulti,OP01-093,Character,Purple,Strike,null,3000,,2,[On Play] ①(You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and rest it.,Animal Kingdom Pirates
Koby,ST06-002,Character,Black,Strike,null,2000,+1000 Counter,1,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 0.,Navy
Jewelry Bonney,ST02-007,Character,Green,Special,null,1000,+1000 Counter,1,"[Activate: Main] ➀(You may rest the specified number of DON!! cards in your cost area.)You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1{Supernovas}type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Supernovas/Bonney Pirates
Sentomaru,ST03-007,Character,Blue,Slash,null,4000,+1000 Counter,3,"[DON!! x1] [Activate: Main] [Once Per Turn] ➁(You may rest the specified number of DON!! cards in your cost area.): Play up to 1 [Pacifista] with a cost of 4 or less from your deck, then shuffle your deck.",Navy
Who's.Who,ST04-010,Character,Purple,Slash,null,3000,,3,[On Play] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less.[Trigger] Play this card.,Animal Kingdom Pirates
Raizo,OP01-052,Character,Green,Slash,null,4000,+1000 Counter,3,"[When Attacking] [Once Per Turn] If you have 2 or more rested Characters, draw 1 card.",Land of Wano/The Akazaya Nine
Sasaki,OP01-101,Character,Purple,Slash,null,4000,+2000 Counter,3,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and rest it.,Animal Kingdom Pirates
Tsuru,OP02-106,Character,Black,Wisdom,null,0,+2000 Counter,1,[On Play] Give up to 1 of your opponent's Characters −2 cost during this turn.,Navy
General Franky,P-027,Character,Red,Ranged,null,4000,,2,Also treat this card's name as [Franky] according to the rules.[Opponent's Turn] All of your Characters with a base power of 3000 or less gain +1000 Power.,Straw Hat Crew
Monkey.D.Luffy,P-033,Character,Blue,Strike,null,5000,+1000 Counter,4,[Activate: Main] You may place this Character at the bottom of the owner's deck: Draw 1 card.,Straw Hat Crew
Sanji,P-034,Character,Yellow,Strike,null,4000,+1000 Counter,3,"[DON!! x1] [Your Turn] If you have 2 or less Life cards, this Character gains +2000 power.",The Vinsmoke Family
Donquixote Rosinante,OP02-108,Character,Black,Special,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Navy/Donquixote Pirates
Tony Tony.Chopper,OP02-034,Character,Green,Wisdom,null,2000,+2000 Counter,2,[DON!! x1] [When Attacking] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,FILM/Animal/Straw Hat Crew
Hitokiri Kamazo,OP01-108,Character,Purple,Slash,null,5000,+1000 Counter,4,[On K.O.] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Supernovas/Kid Pirates/SMILE
Nico Robin,OP01-017,Character,Red,Strike,null,4000,+1000 Counter,3,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.,Straw Hat Crew
Charlotte Brulee,ST07-007,Character,Yellow,Special,null,1000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Trigger] Play this card.",Big Mom Pirates
Gecko Moria,ST03-004,Character,Blue,Special,null,5000,+1000 Counter,4,[On Play] Add up to 1{The Seven Warlords of the Sea}or{Thriller Bark Pirates}type Character with a cost of 4 or less other than [Gecko Moria] from your trash to your hand.,The Seven Warlords of the Sea/Thriller Bark Pirates
Roronoa Zoro,OP01-001,Leader,Red,Slash,5,5000,,null,[DON!! x1] [Your Turn] All of your Characters gain +1000 power.,Supernovas/Straw Hat Crew
Nami,OP01-016,Character,Red,Special,null,2000,+1000 Counter,1,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1{Straw Hat Crew}type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Straw Hat Crew
Usopp,ST01-002,Character,Red,Ranged,null,2000,+1000 Counter,2,[DON!! x2] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 5000 or more power during this battle.[Trigger] Play this card.,Straw Hat Crew
Sanji,OP01-013,Character,Red,Strike,null,3000,+2000 Counter,2,"[Activate: Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.",Straw Hat Crew
Nico Robin,ST01-008,Character,Red,Wisdom,null,5000,+1000 Counter,3,null,Straw Hat Crew
Franky,ST01-010,Character,Red,Strike,null,6000,+1000 Counter,4,null,Straw Hat Crew
Brook,OP01-022,Character,Red,Slash,null,5000,+1000 Counter,4,[DON!! x1] [When Attacking] Give up to 2 of your opponent's Characters −2000 power during this turn.,Straw Hat Crew
Jinbe,ST01-005,Character,Red,Strike,null,5000,,3,[DON!! x1] [When Attacking] Up to 1 of your Leader or Character cards other than this card gains +1000 power during this turn.,Fish-Man/Straw Hat Crew
Brook,ST01-011,Character,Red,Slash,null,3000,+2000 Counter,2,[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,Straw Hat Crew
Okiku,OP01-035,Character,Green,Slash,null,5000,,3,[DON!! x1] [When Attacking] [Once Per Turn] Rest up to 1 of your opponent's Characters with a cost of 5 or less.,Land of Wano/The Akazaya Nine
Dracule Mihawk,ST03-005,Character,Blue,Slash,null,5000,+2000 Counter,4,[DON!! x1] [When Attacking] Draw 2 cards and trash 2 cards from your hand.,The Seven Warlords of the Sea
Tashigi,ST06-006,Character,Black,Slash,null,4000,+2000 Counter,3,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −2 cost during this turn.,Navy
Speed Jil,OP03-006,Character,Red,Slash,null,6000,+1000 Counter,4,null,Whitebeard Pirates
Buggy,OP03-032,Character,Green,Slash,null,5000,,3,This Character cannot be K.O.'d in battle by <Slash> attribute cards.,East Blue/Buggy Pirates
Boodle,OP03-050,Character,Blue,Wisdom,null,0,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] You may trash 1 card from the top of your deck.",East Blue
Monkey.D.Luffy,OP03-070,Character,Purple,Strike,null,7000,,6,[On Play] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.)You may trash 1 Character card with a cost of 5 from your hand: This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.),Water Seven/Straw Hat Crew
Kalifa,OP03-081,Character,Black,Special,null,4000,+2000 Counter,4,"[On Play] Draw 2 cards and trash 2 cards from your hand. Then, give up to 1 of your opponent's Characters −2 cost during this turn.",CP9
